celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_avg_score,week2_avg_score,week3_avg_score,week4_avg_score,week5_avg_score,week6_avg_score,week7_avg_score,week8_avg_score,week9_avg_score,week10_avg_score,week11_avg_score,overall_avg_score,total_valid_weeks,mean_fan_vote,judges_score,is_eliminated,is_american,age_group,industry_performance
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,7.666666666666667,8.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,,,,2.875,8,0.09144698631413006,23.0,True,0,40-50,4.578702222222222
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,4.0,5.333333333333333,4.666666666666667,2.6666666666666665,0.0,0.0,0.0,0.0,,,,2.083333333333333,8,0.11751814531975556,12.5,True,1,30-40,5.2339473613181
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.0,9.0,,9.6666,9.6666,9.6666,,,,,,,,,,,,,,8.0,9.0,9.0,9.333333333333334,9.0,10.0,9.166666666666666,9.6666,,,,9.145825,8,0.1888824757920219,27.437475,False,1,<30,5.2339473613181
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5416666666666666,8,0.0278043035606259,13.0,True,1,40-50,4.429163333333333
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5.0,6.0,6.0,,7.0,7.0,7.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.666666666666667,7.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,10,0.0693112671678443,20.0,True,1,50+,5.4682266313525885
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.333333333333333,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.233333333333333,10,0.09356847375772272,24.25,True,1,40-50,5.4682266313525885
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6.0,6.0,7.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,7.0,7.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.333333333333333,8.666666666666666,9.0,8.0,9.0,7.666666666666667,9.0,8.833333333333334,0.0,0.0,,6.65,10,0.13889628161789366,24.9375,True,1,<30,5.4682266313525885
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7.0,7.0,7.0,,10.0,9.0,10.0,,8.0,6.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,8.0,8.0,8.0,,9.5,9.0,10.0,,9.5,8.5,9.0,,9.5,10.0,10.0,,0.0,0.0,0.0,,,,,,7.0,9.666666666666666,7.333333333333333,9.0,8.333333333333334,8.0,9.5,9.0,9.833333333333334,0.0,,7.7666666666666675,10,0.15829130590396656,25.88888888888889,False,1,<30,5.4682266313525885
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9.0,8.0,9.0,,7.0,6.0,8.0,,8.0,6.0,8.0,,10.0,9.0,10.0,,9.0,9.0,9.0,,9.0,9.0,10.0,,9.5,9.0,9.5,,9.5,9.0,10.0,,10.0,9.5,10.0,,10.0,10.0,9.6666,,,,,,8.666666666666666,7.0,7.333333333333333,9.666666666666666,9.0,9.333333333333334,9.333333333333334,9.5,9.833333333333334,9.888866666666667,,8.955553333333334,10,0.19101655378394786,26.866660000000003,False,1,30-40,5.4682266313525885
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,8.0,9.0,,10.0,9.5,9.0,,8.5,9.0,9.5,,9.5,10.0,10.0,,10.0,9.6666,10.0,,,,,,8.0,8.0,6.333333333333333,8.0,9.0,8.333333333333334,9.5,9.0,9.833333333333334,9.888866666666667,,8.588886666666667,10,0.2833667313951703,25.76666,False,1,30-40,5.533598519758994
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7.0,5.0,6.0,,8.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.3333333333333333,10,0.04827223953796345,20.0,True,1,30-40,3.2939875361457713
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7.0,7.0,8.0,,7.0,8.0,8.0,,7.0,7.0,8.0,,9.0,9.0,10.0,,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.333333333333333,7.666666666666667,7.333333333333333,9.333333333333334,9.0,0.0,0.0,0.0,0.0,0.0,,4.066666666666667,10,0.11759845454715376,24.4,True,1,<30,5.2339473613181
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,9.0,8.0,,6.0,7.0,7.0,,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.0,7.0,8.333333333333334,6.666666666666667,8.0,0.0,0.0,0.0,0.0,0.0,,3.5,10,0.1386101274553911,21.0,False,1,30-40,5.2339473613181
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5.0,5.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,8.0,8.0,,7.0,6.0,5.0,,7.5,8.0,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.333333333333333,6.333333333333333,7.0,7.333333333333333,8.0,6.0,7.666666666666667,0.0,0.0,0.0,,4.7666666666666675,10,0.10569902171010423,20.428571428571427,True,0,50+,5.1819820478416
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5.0,4.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4,10,0.0206869045361607,12.0,True,1,30-40,5.1819820478416
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6.0,5.0,6.0,,7.0,7.0,7.0,,7.0,6.0,7.0,,6.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,6.0,,7.5,7.5,7.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.666666666666667,7.0,6.666666666666667,5.333333333333333,6.0,6.333333333333333,7.5,0.0,0.0,0.0,,4.45,10,0.1086866979366833,19.416666666666668,True,1,50+,5.4682266313525885
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,8.0,7.0,,8.0,8.0,8.0,,7.0,9.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,7.0,7.333333333333333,8.0,8.0,8.0,8.0,9.0,7.833333333333333,9.666666666666666,0.0,,7.283333333333333,10,0.15174464014855785,24.6875,True,1,40-50,5.4682266313525885
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,,6.0,6.0,6.0,,6.0,5.0,5.0,,6.0,4.0,5.0,,4.0,5.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.333333333333333,6.0,5.333333333333333,5.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,,2.5999999999999996,10,0.1084599766309791,15.5,True,1,40-50,5.533598519758994
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,,9.0,9.0,9.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,10.0,9.0,,9.0,9.0,10.0,,10.0,9.5,10.0,,9.0,8.5,9.0,,10.0,10.0,10.0,,9.6666,9.0,9.6666,,,,,,7.666666666666667,9.0,7.0,7.0,9.333333333333334,9.333333333333334,9.833333333333334,8.833333333333334,10.0,9.444400000000002,,8.74444,10,0.17968938687773026,26.592577777777777,False,1,<30,5.533598519758994
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.5,9.5,,10.0,9.0,10.0,,10.0,9.5,10.0,,9.6666,9.6666,10.0,,,,,,7.0,8.666666666666666,7.666666666666667,8.666666666666666,10.0,9.333333333333334,9.0,9.666666666666666,9.833333333333334,9.777733333333334,,8.961106666666666,10,0.2005572183762251,27.537022222222223,False,1,<30,5.533598519758994
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.333333333333333,6.666666666666667,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,10,0.04781727281425825,20.5,True,1,<30,2.0
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.3333333333333333,10,0.0092628793739443,21.0,True,0,40-50,3.2939875361457713
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.0,8.0,8.0,7.666666666666667,7.0,7.666666666666667,0.0,0.0,0.0,0.0,,4.433333333333334,10,0.10318605750515641,23.0,True,0,30-40,3.2939875361457713
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,5.0,,7.0,7.0,7.0,,6.0,6.5,6.5,,6.5,6.5,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,4.333333333333333,7.0,7.0,7.0,5.666666666666667,7.0,6.333333333333333,6.333333333333333,0.0,0.0,,5.066666666666667,10,0.1274537966548532,19.857142857142858,True,1,40-50,5.2339473613181
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,9.0,9.0,,8.0,8.0,9.0,,9.0,9.0,9.0,,10.0,9.5,10.0,,9.5,9.0,9.0,,10.0,10.0,10.0,,9.6666,9.3333,9.6666,,,,,,8.0,8.0,8.0,9.333333333333334,8.333333333333334,9.0,9.833333333333334,9.166666666666666,10.0,9.5555,,8.922216666666667,10,0.1716783215342573,27.074055555555553,False,1,<30,5.2339473613181
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.0,7.0,8.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,2.533333333333333,10,0.07325138482046344,20.333333333333332,True,1,40-50,5.1819820478416
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,9.0,8.0,8.0,,8.5,8.5,8.5,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,7.0,7.666666666666667,9.0,8.666666666666666,8.333333333333334,8.5,8.5,0.0,0.0,,6.466666666666667,10,0.12378762969988376,24.25,True,0,30-40,5.4682266313525885
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8.0,8.0,8.0,,7.0,7.0,7.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,8.0,9.0,9.0,,8.0,7.0,7.0,,8.0,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.0,7.0,9.0,8.666666666666666,8.666666666666666,7.333333333333333,8.333333333333334,0.0,0.0,0.0,,5.7,10,0.11024725294650038,24.428571428571427,True,0,50+,5.4682266313525885
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,9.0,9.0,10.0,,9.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,8.666666666666666,8.666666666666666,9.0,10.0,9.333333333333334,8.333333333333334,0.0,0.0,0.0,0.0,,5.4,10,0.10669165856741732,27.0,True,1,<30,5.4682266313525885
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7.0,7.0,7.0,,7.0,7.0,7.0,,9.0,8.0,9.0,,8.0,10.0,9.0,,8.0,9.0,8.0,,9.0,9.0,9.0,,8.5,8.5,9.5,,8.5,8.5,8.0,,9.5,10.0,9.5,,0.0,0.0,0.0,,,,,,7.0,7.0,8.666666666666666,9.0,8.333333333333334,9.0,8.833333333333334,8.333333333333334,9.666666666666666,0.0,,7.583333333333333,10,0.13698231892495938,25.27777777777778,True,1,30-40,5.4682266313525885
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.0,7.0,7.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,,2.7666666666666666,10,0.09605887042813743,20.75,True,1,<30,5.533598519758994
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6.0,5.0,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5333333333333333,10,0.0190205803392109,16.0,True,1,<30,3.2939875361457713
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7.0,7.0,7.0,,7.0,7.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.4,10,0.062185833007906095,21.0,True,1,<30,3.2939875361457713
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,8.0,9.0,8.0,,9.0,9.0,9.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,8.0,7.0,8.0,,9.0,10.0,9.0,,9.0,8.5,8.5,,9.5,9.5,9.5,,10.0,10.0,10.0,,9.0,9.3333,9.6666,,,,,,8.333333333333334,9.0,8.0,9.0,7.666666666666667,9.333333333333334,8.666666666666666,9.5,10.0,9.333300000000001,,8.88333,10,0.19908577746038053,26.649990000000003,False,0,30-40,6.247345
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,8.0,8.0,8.0,,7.0,8.0,8.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,9.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.0,,9.0,9.5,9.5,,10.0,10.0,10.0,,9.3333,9.3333,9.6666,,,,,,8.0,7.666666666666667,9.0,8.666666666666666,9.666666666666666,10.0,9.0,9.333333333333334,10.0,9.4444,,9.077773333333333,10,0.15845739951392518,27.23332,False,0,30-40,5.2339473613181
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6.0,7.0,6.0,,5.0,5.0,5.0,,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,6.333333333333333,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.7333333333333332,10,0.06661476852630703,17.333333333333332,True,1,50+,5.2339473613181
